sentence_index,entity_raw,entity_normalised,category,sentence_text
237,Post Office's,Post Office,Organisation,"This was really an Oracle database, and this was used to communicate with Post Office's
backend systems where they did their backend accounting."
238,Fujitsu,Fujitsu,Organisation,"So that was really the boundary
between what Fujitsu was doing or ICL was doing and what Post Office was doing."
238,ICL,ICL,Organisation,"So that was really the boundary
between what Fujitsu was doing or ICL was doing and what Post Office was doing."
238,Post Office,Post Office,Organisation,"So that was really the boundary
between what Fujitsu was doing or ICL was doing and what Post Office was doing."
239,Post Office's,Post Office,Organisation,"So that
That was basically an overnight batch processing system, so it would process through all the
transactions, it would generate files of transactions that had happened during that day, which were
then transmitted to Post Office's backend systems."
242,Post Office's,Post Office,Organisation,"So what the agent layer was doing is it was reading data from the message store, and we
had copies of the message store in the data centre, and extracting the relevant transactions
and other information that was of interest to Post Office's backend systems, and writing
records to the Oracle databases to reflect those transactions."
242,Oracle,Oracle,Individual,"So what the agent layer was doing is it was reading data from the message store, and we
had copies of the message store in the data centre, and extracting the relevant transactions
and other information that was of interest to Post Office's backend systems, and writing
records to the Oracle databases to reflect those transactions."
244,"Post
Office","Post
Office",Organisation,"For example, reference data was being generated by Post
Office, and by reference data, the simplest example is, what's the price of a stamp today?"
256,the Benefits Agency,the Benefits Agency,Organisation,"The work changed a lot over time because at the beginning, back in 1996, the first application
that was rolled out was actually a benefits agency application, which by 1998, 1999, actually
got dropped because the Benefits Agency pulled out the contract."
263,the Benefits Agency,the Benefits Agency,Organisation,What did you know as to the reasons why the Benefits Agency pulled out of the contract?
269,ICL,ICL,Organisation,"Were you told anything to the effect that one of the reasons why the benefits agency
withdrew was a lack of confidence in ICL."
285,Project Impact,Project Impact,Organisation,"That really started with Project Impact, but I certainly was working with the post office
team in terms of defining the interfaces between how Fujitsu's agents were operating and how
they interacted."
285,Fujitsu,Fujitsu,Organisation,"That really started with Project Impact, but I certainly was working with the post office
team in terms of defining the interfaces between how Fujitsu's agents were operating and how
they interacted."
286,IBM,IBM,Organisation,"Well, initially, there was a box in between us and the banks called the Network Banking
Engine, which was provided by IBM."
289,Jeremy Fowkes,Jeremy Fowkes,Individual,"Did you come into contact with Jeremy Fowkes, the infrastructure assurance team leader from the post office?"
290,Escher,Escher,Individual,"Not at that time, but I did come across him a few years later when he'd moved roles and he actually joined Escher as one of their consultants."
291,Jeremy,Jeremy,Individual,"So I did come across Jeremy in his role with Escher, but I don't remember coming across him when he was working with post office."
291,Escher,Escher,Individual,"So I did come across Jeremy in his role with Escher, but I don't remember coming across him when he was working with post office."
294,Riposte,Riposte,Technical System,"He continued, when I say we had some visibility of risk areas, what I mean is that the areas
where we had raised formal risks to the service provider at the start, such as Riposte."
295,EPOSS,EPOSS,Technical System,"In
those cases, we did get more information, but as far as the application design, in particular
EPOSS, we had been denied visibility."
296,ICL,ICL,Organisation,"I think that was something to do with the way the contract had been negotiated between
– or ICL management, as it was then, and Post Office and DSS."
296,Post Office,Post Office,Organisation,"I think that was something to do with the way the contract had been negotiated between
– or ICL management, as it was then, and Post Office and DSS."
296,DSS,DSS,Organisation,"I think that was something to do with the way the contract had been negotiated between
– or ICL management, as it was then, and Post Office and DSS."
297,PFI,PFI,Organisation,"I wasn't involved in
of that, but as I understand it, it was a PFI contract, and part of that meant that the customer
had to treat the whole thing as a black box, but say this is hearsay, if you like, rather than
something I was directly involved in."
301,Fujitsu,Fujitsu,Organisation,"That it was up to Fujitsu
exactly how they designed the application and the details of how the internal design was done was
something for Fujitsu YCL to worry about and it wasn't something that post office would get involved
in."
301,Fujitsu YCL,Fujitsu YCL,Organisation,"That it was up to Fujitsu
exactly how they designed the application and the details of how the internal design was done was
something for Fujitsu YCL to worry about and it wasn't something that post office would get involved
in."
302,EPOSS,EPOSS,Technical System,"Would a consequence of that be in relation, for example, to EPOSS mean that it would be
difficult if not impossible for the post office to ensure that there was data integrity?"
308,Horizon,Horizon,Technical System,"He suggested that the fact that the post office had purchased a black box and had no rights
to see how the black box worked meant that it was difficult, if not impossible, to ensure
data integrity within the Horizon system."
314,PFI,PFI,Organisation,"Were you conscious, and those with whom you worked conscious, that the nature of the contract
was a PFI contract, and therefore the client had no rights, no visibility over the way
the system was built."
319,Horizon,Horizon,Technical System,"And it was really a case of, and the
The main work I was doing with the customer in the early 2000s was with agreeing these
banking specs, and there I was working very openly with the customer because there were
their specs that were defining the interfaces as to how Horizon was going to interface with
initially the banking engine and then also with Streamline for the debit card payments."
322,PFI,PFI,Organisation,"Why was it being talked about?
thing was being talked about as such it was really I probably picked that up from the Jeremy Fox's
stuff as I say I was aware that there's a PFI contract and that it meant that we didn't
necessarily need to share detailed design documents with the customer because it was
Fujitsu's intellectual property."
322,Fujitsu,Fujitsu,Organisation,"Why was it being talked about?
thing was being talked about as such it was really I probably picked that up from the Jeremy Fox's
stuff as I say I was aware that there's a PFI contract and that it meant that we didn't
necessarily need to share detailed design documents with the customer because it was
Fujitsu's intellectual property."
330,Legacy Horizon,Legacy Horizon,Technical System,"Within your roles in Legacy Horizon, did you have any oversight of all bugs, errors and defects
within the system at any given time?"
333,SSC,SSC,Organisation,"If you did not have knowledge of or oversight of all bugs, errors and defects within the
system at any given time, who did?
I would have thought the SSC would, and there was an area called customer services, SSC
was part of that."
338,SSC,SSC,Organisation,"We've heard from a lot of people from the SSC, and they've told us that there were between
20 and 30 people at any one time working in the SSC, sometimes working shifts, some working
at home, some working in the office, that they only knew about the bugs that they were
allocated on the stack, and that it was correct that there might be informal sharing of information
by people who were sitting next to each other or talking about it at the water cooler, but
there was no formalised system for sharing knowledge within the SSC."
342,SSC,SSC,Organisation,I wasn't part of the SSC.
343,Horizon,Horizon,Technical System,"But when I asked you who may have oversight of all bugs, errors and defects within the
Horizon system, you pointed to the SSC."
343,SSC,SSC,Organisation,"But when I asked you who may have oversight of all bugs, errors and defects within the
Horizon system, you pointed to the SSC."
346,Horizon,Horizon,Technical System,"I'm looking for, it might be described as an all-seeing eye, but somebody who took a
step back and would be able to say, we've had these problems in the past with Horizon,
these bugs, errors and defects, and at the moment we're servicing the existence of these
possible bugs, errors and defects."
350,Peak,Peak,Technical System,"There was a system called Peak and it had a predecessor called PinICL and the way
that that operated, that was effectively a database of the various defects and that included
those found during testing as well as those during live, and what happened was that peaks
or PinICL would be allocated to a particular person, and I think you'd normally get an
email saying, you've had this peak that's allocated to you, you could then log into
the peak system, have a look at the peak, see what it said, and then decide what you
need to do with it next."
352,Horizon Online,Horizon Online,Technical System,"Did you have oversight of all bugs, errors and defects?
Not as such, but I did have a probably a better view of them, particularly during the pilot
phase of Horizon Online, because during the pilot phase there was a project team in place
that was managing the pilot and taking very close monitoring of any issues that were going
on during the pilot and I would often get called in to that by that team to investigate
particular problems particularly ones that are the factor of the counter."
353,Horizon Online,Horizon Online,Technical System,"After the pilot phase of Horizon Online was over, did you have oversight of all bugs errors
and defects within the Horizon Online system?"
353,Horizon,Horizon,Technical System,"After the pilot phase of Horizon Online was over, did you have oversight of all bugs errors
and defects within the Horizon Online system?"
360,Legacy Horizon,Legacy Horizon,Technical System,There was the same peak system that operated for both Legacy Horizon and Horizon Online.
360,Horizon Online,Horizon Online,Technical System,There was the same peak system that operated for both Legacy Horizon and Horizon Online.
361,Legacy Horizon,Legacy Horizon,Technical System,"And so for both Legacy Horizon and Horizon Online, you became aware of things that might
be bugs, errors and defects through the PinICL and then the peak system?"
361,Horizon Online,Horizon Online,Technical System,"And so for both Legacy Horizon and Horizon Online, you became aware of things that might
be bugs, errors and defects through the PinICL and then the peak system?"
363,Fujitsu,Fujitsu,Organisation,"So when something was identified as being a serious problem, and I think we're probably
going to go on talking about the receipts and payments mismatch problem at some stage,
I was often called in to help, well, firstly, analyse the problem and explain that problem
so that Fujitsu management could understand what it was all about, and I often got involved
in explaining it to the equivalent people in post office about what the impact of that
was and what could be done to remedy it, both in terms of fixing the code, but also fixing
whatever the business impact of the problem was, which wouldn't necessarily be fixed
directly just because you'd fix the code."
371,Horizon,Horizon,Technical System,"If it was largely happenstance that you became aware of a bug error or defect in both Legacy
Horizon and Horizon Online, how could you subsequently give full, complete and accurate
evidence about the existence or non-existence of bugs, errors and defects in Horizon?"
371,Horizon Online,Horizon Online,Technical System,"If it was largely happenstance that you became aware of a bug error or defect in both Legacy
Horizon and Horizon Online, how could you subsequently give full, complete and accurate
evidence about the existence or non-existence of bugs, errors and defects in Horizon?"
383,Fujitsu,Fujitsu,Organisation,"During your employment within Fujitsu, did any of your roles
entails any overall responsibility for monitoring identifying or fixing bugs
errors or defects?"
396,Del Mannington's,Del Mannington's,Organisation,"receipts and payments match, the local suspense issue and Del Mannington's, those are the
ones I see as being the serious issues with Horizon Online and I got involved in all of
them because they saw me being helpful in terms of my expertise and background for those
particular cases."
396,Horizon Online,Horizon Online,Technical System,"receipts and payments match, the local suspense issue and Del Mannington's, those are the
ones I see as being the serious issues with Horizon Online and I got involved in all of
them because they saw me being helpful in terms of my expertise and background for those
particular cases."
397,jargon,jargon,Organisation,"That was my next question, why did they come to you?
Because I'd had experience of dealing with things, I think it was felt that I was in
a good position of turning some of the technical jargon into something that laypeople could
understand better."
400,SSC,SSC,Organisation,"I would get involved by probably
a phone call or an email from someone either in the SSC or from problem management and
they say, guys, can you come and give us a hand, look at this problem and see what's
going on."
405,the Post Office,Post Office,Organisation,"When you started to become the man that the Post Office relied on to give evidence in
court, did anyone say, we need to make sure that Mr Jenkins knows about the things that
are not referred to him?"
411,SSC,SSC,Organisation,"What interactions did you have with the third line of support, the SSC, in relation to identifying
and rectifying bugs, errors and defects?"
419,EPOSS,EPOSS,Technical System,Can I turn to EPOSS and RIPOS please?
419,RIPOS,RIPOS,Organisation,Can I turn to EPOSS and RIPOS please?
420,EPOSS,EPOSS,Technical System,"In relation to the EPOSS aspects of Horizon, you tell us it's paragraph 21 of your second
witness statement, no need to turn it up."
420,Horizon,Horizon,Technical System,"In relation to the EPOSS aspects of Horizon, you tell us it's paragraph 21 of your second
witness statement, no need to turn it up."
421,EPOSS,EPOSS,Technical System,"In summary, until around 2003, I do not recall
having anything to do with EPOSS other than indirectly when it had an impact on my work
with the agents."
422,EPOSS,EPOSS,Technical System,"From around 2003 onwards, I began to gain technical expertise and a
practical understanding of how EPOSS operated."
425,Esha,Esha,Individual,"You've told us already that Esha was responsible
for provision of the riposte software, is that right?"
428,EPOSS,EPOSS,Technical System,"And the latter of those, the desktop counter, was the basis for the EPOSS system?
Correct."
430,Post Office,Post Office,Organisation,"Yes, and I think I went back there for two or three ad-hoc trips after that, but that
was my initial, that was effectively my first week on the Post Office account when I got
sent to Boston for a week to learn about how Riposte worked."
430,Riposte,Riposte,Technical System,"Yes, and I think I went back there for two or three ad-hoc trips after that, but that
was my initial, that was effectively my first week on the Post Office account when I got
sent to Boston for a week to learn about how Riposte worked."
431,EPOSS,EPOSS,Technical System,"If you did not have anything to do with EPOSS other than indirectly, why did you go to Boston
for a week in 1996?"
432,Riposte,Riposte,Technical System,"That was talking more about how the Riposte message door was working and also there were
specific interfaces that Riposte had that could be used by the agents."
438,EPOSS,EPOSS,Technical System,"And is the answer that you went to Boston to learn how the EPOSS system works, in particular,
how it might interact with the work that you were undertaking?
No.
I went to Boston to learn how Riposte worked, and therefore how the agents could actually
use it."
438,Riposte,Riposte,Technical System,"And is the answer that you went to Boston to learn how the EPOSS system works, in particular,
how it might interact with the work that you were undertaking?
No.
I went to Boston to learn how Riposte worked, and therefore how the agents could actually
use it."
440,EPOSS,EPOSS,Technical System,"In relation to the development of EPOSS before the rollout
of Legacy Horizon, we've heard evidence from David MacDonald."
440,Legacy Horizon,Legacy Horizon,Technical System,"In relation to the development of EPOSS before the rollout
of Legacy Horizon, we've heard evidence from David MacDonald."
440,David MacDonald,David MacDonald,Individual,"In relation to the development of EPOSS before the rollout
of Legacy Horizon, we've heard evidence from David MacDonald."
444,Gareth,Gareth,Individual,"He told the inquiry, quote, my understanding was that
Gareth, that's you, Gareth Jenkins, worked alongside another chief architect under Alan
Ward."
444,Gareth Jenkins,Gareth Jenkins,Individual,"He told the inquiry, quote, my understanding was that
Gareth, that's you, Gareth Jenkins, worked alongside another chief architect under Alan
Ward."
444,"Alan
Ward","Alan
Ward",Individual,"He told the inquiry, quote, my understanding was that
Gareth, that's you, Gareth Jenkins, worked alongside another chief architect under Alan
Ward."
446,Alan Ward,Alan Ward,Individual,"I certainly did have a dotted line relationship to Alan Ward who
was the chief architect at that time."
447,David McDonald,David McDonald,Individual,"I thought that David McDonald actually suggested I was
the chief architect and he's certainly mistaken in that belief."
449,Gareth Jenkins',Gareth Jenkins',Individual,"Gareth Jenkins'
responsibility was specifically to the EPOSS counter system."
449,EPOSS,EPOSS,Technical System,"Gareth Jenkins'
responsibility was specifically to the EPOSS counter system."
457,Alan Ward,Alan Ward,Individual,Alan Ward was at that time.
458,EPOSS,EPOSS,Technical System,"And I know he was quite involved in the development of EPOSS
at that time because there were quite a lot of changes being made and he used to regularly
fly off to Boston for a couple of days almost every week to actually work with Escher on
changes to EPOSS."
458,Escher,Escher,Individual,"And I know he was quite involved in the development of EPOSS
at that time because there were quite a lot of changes being made and he used to regularly
fly off to Boston for a couple of days almost every week to actually work with Escher on
changes to EPOSS."
461,"Gareth
Jenkins","Gareth
Jenkins",Individual,"He told us that there was
there had been a lack of formalised sign-off designs, a lack of discipline, a lack of professional
qualifications in key positions, and a total disengagement of the chief architect, Gareth
Jenkins, that there were poor coding standards, no methodology in place, and no unit testing."
462,EPOSS,EPOSS,Technical System,"The issues were critical, making the EPOSS product unstable."
464,Horizon,Horizon,Technical System,"Taking those in turn, you've already told us that you were not the chief
architect of Horizon."
465,EPOSS,EPOSS,Technical System,"But putting that aside, in relation to EPOSS, did you know whether
or not there was an existence or a lack of formalised sign-off designs?"
468,EPOSS,EPOSS,Technical System,"When things were formally
signed off there, I have no idea what sort of processes they were following in the EPOSS
team."
469,EPOSS,EPOSS,Technical System,"Did you know whether or not there was a lack of discipline and a lack of professional qualifications
in the EPOSS team?"
473,EPOSS,EPOSS,Technical System,Did you know whether or not there was unit testing within the EPOSS team?
477,EPOSS,EPOSS,Technical System,"The other thing to remember is that the EPOSS team was based in Feltham and I was based
in Bracknell."
482,EPOSS,EPOSS,Technical System,"Were you aware of an EPOSS task force being set up by ICL?
I don't think I was aware of it at the time."
482,ICL,ICL,Organisation,"Were you aware of an EPOSS task force being set up by ICL?
I don't think I was aware of it at the time."
484,FUJ 308 0690,FUJ 308 0690,Organisation,Can we look please at FUJ 308 0690?
490,the EPOSS PinICL Task Force,the EPOSS PinICL Task Force,Organisation,"It's a report of the EPOSS PinICL Task Force, and it reports on the activities of the EPOSS
PinICL Task Force, which was in place between the 19th of August and the 18th of September
December 1998 to reduce to manageable levels the EPOSS PinICL outstanding at that time."
490,EPOSS,EPOSS,Technical System,"It's a report of the EPOSS PinICL Task Force, and it reports on the activities of the EPOSS
PinICL Task Force, which was in place between the 19th of August and the 18th of September
December 1998 to reduce to manageable levels the EPOSS PinICL outstanding at that time."
493,"Austin
Bennett","Austin
Bennett",Individual,"It's to Messrs. Austin
Bennett and McDonnell."
493,McDonnell,McDonnell,Organisation,"It's to Messrs. Austin
Bennett and McDonnell."
497,ICL,ICL,Organisation,What was the nature of ICL's document library at this time?
500,Matthew Lenton,Matthew Lenton,Individual,"I think Matthew Lenton may have described something about this when he appeared a couple
of weeks ago."
508,EPOSS,EPOSS,Technical System,"but I don't think I
would have been particularly interested in what was happening with EPOSS at that
time."
511,EPOSS,EPOSS,Technical System,"It gives a very damning account of the problems with
EPOSS."
513,MacDonald,MacDonald,Individual,"Mr. MacDonald told us in his evidence that he presented this report to
you."
516,Terry Austin,Terry Austin,Individual,"I think he presented it to whoever
commissioned at, which I think I understand now is Terry Austin."
521,EPOSS PinICL Task Force,EPOSS PinICL Task Force,Organisation,"I don't think I had any involvement with the EPOSS PinICL Task Force.
said that we managed to get Gareth down to the counter team twice."
521,Gareth,Gareth,Individual,"I don't think I had any involvement with the EPOSS PinICL Task Force.
said that we managed to get Gareth down to the counter team twice."
525,EPOSS,EPOSS,Technical System,"But I don't recall having anything to do with him in terms of
of EPOSS."
526,API,API,Organisation,"He said that his team tried to engage you in a conversation
about the missing API."
528,LFS,LFS,Organisation,"I think that was to do with this LFS thing
that I mentioned previously."
529,EPOSS,EPOSS,Technical System,So I think that was a role that he took on after the EPOSS team.
532,Escher,Escher,Individual,"I think it was more a case of pragmatism in that I think he wanted to totally change the
way that the Escher software interfaced with the applications."
534,Escher,Escher,Individual,"But I could also see that there was no way that Escher was going to go and totally rewrite
their software when it was basically operating and doing what it needed to do."
541,Terry Austin,Terry Austin,Individual,"He said that he was unable to engage you, to get you on his side, and to lend your persuasive
weight to persuade Terry Austin to rewrite the cash account."
544,Terry,Terry,Individual,"and I can't see how I would possibly have been able to
persuade Terry that there's something to do with the cash account when there's nothing
to do with my area."
553,McDonnell,McDonnell,Individual,"Leaving aside your involvement and role in the way that Mr. McDonnell has described,
but would you agree with looking back now about what he said about the EPOSS team in the late 1990s?"
553,EPOSS,EPOSS,Technical System,"Leaving aside your involvement and role in the way that Mr. McDonnell has described,
but would you agree with looking back now about what he said about the EPOSS team in the late 1990s?"
566,LFS,LFS,Organisation,"I'd say the only recollection I have is discussing issues to do with LFS,
which was a later role that he moved on to."
567,EPOSS,EPOSS,Technical System,"I don't remember having any real involvement
with the EPOSS team at that sort of time."
569,EPOSS,EPOSS,Technical System,"If you'd been asked the question at rollout time, to what
extent does the EPOSS system function well and effectively?"
575,EPOSS,EPOSS,Technical System,"If you were to give evidence later on about events that were happening in 2000, you wouldn't
be able to say whether EPOSS was functioning well or not?
Not in 2000, no."
589,EPOSS,EPOSS,Technical System,"No, I didn't think it was a problem as far as that was concerned because at the times
that I was giving evidence for, I believed that the EPOSS system was stable and was operating
correctly."
594,Horizon,Horizon,Technical System,"Yes.
rather than giving evidence about the existence of bugs, errors, and defects within Horizon,
how quickly they manifested themselves to Fujitsu, how promptly the post office was
told about them, and the extent to which sub-postmasters had themselves been informed."
594,Fujitsu,Fujitsu,Organisation,"Yes.
rather than giving evidence about the existence of bugs, errors, and defects within Horizon,
how quickly they manifested themselves to Fujitsu, how promptly the post office was
told about them, and the extent to which sub-postmasters had themselves been informed."
604,Project Impact,Project Impact,Organisation,"Given your role in the project, can you describe shortly what Project Impact was designed to
to do so far as the back-end accounting system was concerned?
Post Office had a proprietary in-house system called, if I remember rightly, CBDB, I can't
remember what that stands for, where they used to process their accounts."
604,Post Office,Post Office,Organisation,"Given your role in the project, can you describe shortly what Project Impact was designed to
to do so far as the back-end accounting system was concerned?
Post Office had a proprietary in-house system called, if I remember rightly, CBDB, I can't
remember what that stands for, where they used to process their accounts."
604,CBDB,CBDB,Organisation,"Given your role in the project, can you describe shortly what Project Impact was designed to
to do so far as the back-end accounting system was concerned?
Post Office had a proprietary in-house system called, if I remember rightly, CBDB, I can't
remember what that stands for, where they used to process their accounts."
605,SAP,SAP,Organisation,"And they decided
that they wanted to go for a more industry standard system, and SAP was the industry
standard and probably still is for handling accounts"
607,CBDB,CBDB,Organisation,"Now CBDB worked on the basis that it would take the information from the cash accounts
that were signed off each week and derive everything from that which meant that it was
always about a week behind what was really going on whilst with an SAP system they thought
they could get a much more real-time knowledge of what was going on in the system so with
they would know what had happened yesterday, and therefore be in a much better position,
particularly to control their cash flow, because they saw the amount of cash flowing through
the post offices as being a fairly critical measure, because obviously cash had to be
paid for, and it was all to do with Treasury interest rates and things like that that I
didn't really understand, but I understood that having a good handle on exactly how much
cash you had where made a big difference in terms of post office finances."
607,SAP,SAP,Organisation,"Now CBDB worked on the basis that it would take the information from the cash accounts
that were signed off each week and derive everything from that which meant that it was
always about a week behind what was really going on whilst with an SAP system they thought
they could get a much more real-time knowledge of what was going on in the system so with
they would know what had happened yesterday, and therefore be in a much better position,
particularly to control their cash flow, because they saw the amount of cash flowing through
the post offices as being a fairly critical measure, because obviously cash had to be
paid for, and it was all to do with Treasury interest rates and things like that that I
didn't really understand, but I understood that having a good handle on exactly how much
cash you had where made a big difference in terms of post office finances."
