sentence_index,entity_raw,entity_normalised,category,sentence_text
195,Horizon,Horizon,Technical System,Other than the provision of information assistance and evidence in connection with the litigation concerning the Horizon system.
199,Dale Mellington,Dale Mellington,Individual,"I wasn't involved in any particular prosecutions as such, but there was quite a lot of work going on in the background, which— talking to various lawyers, I got pulled in in 2016 for a bug that had been found that's quite serious, the Dale Mellington bug that I think you may well be coming back to later on."
200,Post Office,Post Office,Organisation,And it was felt that I could maybe help explain what the consequences of that was to Post Office.
201,the Post Office,Post Office,Organisation,"I spent There was a problem that the Post Office had, again, I can't remember the exact date now, it's in my witness statement, when there was a mismatch in Post Office's backend accounts."
202,Fujitsu,Fujitsu,Organisation,"They tried to do a reconciliation against data they had from Fujitsu, and I realised what the problem was."
214,Horizon,Horizon,Technical System,"Would it be fair to say that the majority of this time, certainly between 2015 and the Horizon Issues judgment in December 2019, was given over to the provision of litigation support?"
215,GLO,GLO,Organisation,became the GLO.
219,Fraser,Fraser,Individual,"In high-level summary, would you agree that Mr Justice Fraser concluded firstly that legacy Horizon was not remotely robust?"
219,Horizon,Horizon,Technical System,"In high-level summary, would you agree that Mr Justice Fraser concluded firstly that legacy Horizon was not remotely robust?"
222,Horizon Online,Horizon Online,Technical System,Do you accept that Horizon Online was susceptible to accounting flaws?
232,Legacy Horizon,Legacy Horizon,Technical System,"Do I take it that you accept his first finding, that Legacy Horizon was I don't accept that finding."
233,Horizon Online,Horizon Online,Technical System,You don't accept his finding that Horizon Online was susceptible to accounting flaws?
239,Horizon,Horizon,Technical System,"Horizon, both legacy and online, was working well in your view?"
244,Horizon,Horizon,Technical System,Can I turn in more detail to your role in the development and rollout of the Horizon system?
245,ICL,ICL,Organisation,"And in— no need to turn it up— paragraphs 18 to 23 of your first witness statement, you describe your roles and responsibilities at ICL and then Fujitsu."
245,Fujitsu,Fujitsu,Organisation,"And in— no need to turn it up— paragraphs 18 to 23 of your first witness statement, you describe your roles and responsibilities at ICL and then Fujitsu."
246,Horizon,Horizon,Technical System,"So between 1996 and 2002, you tell us that your initial role with legacy Horizon was, quote, to integrate Riposte and the Oracle-based software."
246,Riposte,Riposte,Technical System,"So between 1996 and 2002, you tell us that your initial role with legacy Horizon was, quote, to integrate Riposte and the Oracle-based software."
251,Riposte,Riposte,Technical System,"Firstly, can you describe briefly what Riposte was?"
253,Riposte,Riposte,Technical System,"There were 2 aspects to Riposte, and this was software that we had brought in at Post Office's request from a company called Escher in the United States."
253,Post Office's,Post Office,Organisation,"There were 2 aspects to Riposte, and this was software that we had brought in at Post Office's request from a company called Escher in the United States."
253,Escher,Escher,Individual,"There were 2 aspects to Riposte, and this was software that we had brought in at Post Office's request from a company called Escher in the United States."
256,Riposte,Riposte,Technical System,"Then the other part of Riposte was a development environment that allowed applications to be built on that, and the application environment that caused the human interface that the postmaster saw in the branches."
258,Project Impact,Project Impact,Organisation,"I got more involved in that when I moved on to Project Impact in 2003 or so, but in the early days my main interaction with Repos was to do with the message store."
258,Repos,Repos,Individual,"I got more involved in that when I moved on to Project Impact in 2003 or so, but in the early days my main interaction with Repos was to do with the message store."
261,Post Office's,Post Office,Organisation,This was really an Oracle database and This was used to communicate with Post Office's backend systems where they did their backend accounting.
262,Fujitsu,Fujitsu,Organisation,"So that was really the boundary between what Fujitsu was doing, or ICO was doing, and what Post Office was doing."
262,ICO,ICO,Organisation,"So that was really the boundary between what Fujitsu was doing, or ICO was doing, and what Post Office was doing."
262,Post Office,Post Office,Organisation,"So that was really the boundary between what Fujitsu was doing, or ICO was doing, and what Post Office was doing."
264,Post Office's,Post Office,Organisation,"So it would process through all the transactions, it would generate files of transactions that had happened during that day, which were then transmitted to Post Office's backend systems."
267,Post Office's,Post Office,Organisation,"So what the agent layer was doing is it was reading data from the message store, which we— and we had copies of the message store in the data center— and extracting the relevant transactions and other information that was of interest to Post Office's backend systems and writing records to the Oracle databases to reflect those transactions."
267,Oracle,Oracle,Individual,"So what the agent layer was doing is it was reading data from the message store, which we— and we had copies of the message store in the data center— and extracting the relevant transactions and other information that was of interest to Post Office's backend systems and writing records to the Oracle databases to reflect those transactions."
268,Post Office,Post Office,Organisation,"Then there was also a flow in the other direction For example, reference data was being generated by Post Office, and by reference data, the simplest example is what's the price of a stamp today, because obviously the price of stamps changes every now and again."
277,the Benefits Agency,the Benefits Agency,Organisation,"Right, the work changed a lot over time, because at the beginning, back in 1996, the first application that was rolled out was actually a benefits agency application, which by 1998, '99 had actually got dropped because the Benefits Agency pulled out of the contract."
284,the Benefits Agency,the Benefits Agency,Organisation,What did you know as to the reasons why the Benefits Agency pulled out of the contract?
290,the Post Office,Post Office,Organisation,What they eventually did was they paid people's benefits directly into their bank accounts rather than doing it through a special application in the Post Office.
291,Benefits Agency,Benefits Agency,Organisation,Were you told anything to the effect that one of the reasons why the Benefits Agency withdrew was a lack of confidence in ICL?
291,ICL,ICL,Organisation,Were you told anything to the effect that one of the reasons why the Benefits Agency withdrew was a lack of confidence in ICL?
307,Post Office,Post Office,Organisation,"In your role between 1996 and 2002, were you in any way responsible for communicating with the Post Office team as to their requirements?"
309,Project Impact,Project Impact,Organisation,"That really started with Project Impact, but I certainly was working with the Post Office team in terms of defining the interfaces between how Fujitsu's agents were operating and how they interacted."
309,Post Office,Post Office,Organisation,"That really started with Project Impact, but I certainly was working with the Post Office team in terms of defining the interfaces between how Fujitsu's agents were operating and how they interacted."
309,Fujitsu,Fujitsu,Organisation,"That really started with Project Impact, but I certainly was working with the Post Office team in terms of defining the interfaces between how Fujitsu's agents were operating and how they interacted."
310,the Network Banking Engine,the Network Banking Engine,Organisation,"Well, initially there was a box in between us and the banks called the Network Banking Engine, which was provided by IBM."
310,IBM,IBM,Organisation,"Well, initially there was a box in between us and the banks called the Network Banking Engine, which was provided by IBM."
313,Jeremy Folkes,Jeremy Folkes,Individual,"Did you come into contact with Jeremy Folkes, the Infrastructure Assurance Team leader from the Post Office?"
313,the Infrastructure Assurance Team,the Infrastructure Assurance Team,Organisation,"Did you come into contact with Jeremy Folkes, the Infrastructure Assurance Team leader from the Post Office?"
313,the Post Office,Post Office,Organisation,"Did you come into contact with Jeremy Folkes, the Infrastructure Assurance Team leader from the Post Office?"
314,Escher,Escher,Individual,"Not at that time, but I did come across him a few years later when he'd moved roles, and he actually joined Escher as one of their consultants."
315,Jeremy,Jeremy,Individual,"So I did come across Jeremy in his role with Escher, but I don't remember coming across him when he was working with Post Office."
315,Escher,Escher,Individual,"So I did come across Jeremy in his role with Escher, but I don't remember coming across him when he was working with Post Office."
315,Post Office,Post Office,Organisation,"So I did come across Jeremy in his role with Escher, but I don't remember coming across him when he was working with Post Office."
316,the Benefits Agency,the Benefits Agency,Organisation,"He told the inquiry— it was back on the 2nd of November, uh, 2022— that we— and by that he meant, um, the Benefits Agency and the Post Office Counters Limited team had, quote, been denied viability of the application design."
316,the Post Office Counters Limited,the Post Office Counters Limited,Organisation,"He told the inquiry— it was back on the 2nd of November, uh, 2022— that we— and by that he meant, um, the Benefits Agency and the Post Office Counters Limited team had, quote, been denied viability of the application design."
318,Riposte,Riposte,Technical System,"He continued, when I say we had some visibility of risk areas, what I mean is that the areas where we had raised formal risks to the service provider at the start such as, such as Riposte."
319,EPOSS,EPOSS,Technical System,"In those cases, we did get more information, but as far as the application design, in particular EPOSS, we had been denied visibility."
320,Fujitsu,Fujitsu,Organisation,"I think that was something to do with the way the contract had been negotiated between Fujitsu, or ITL Management as it was then, and Post Office and DSS."
320,ITL Management,ITL Management,Organisation,"I think that was something to do with the way the contract had been negotiated between Fujitsu, or ITL Management as it was then, and Post Office and DSS."
320,Post Office,Post Office,Organisation,"I think that was something to do with the way the contract had been negotiated between Fujitsu, or ITL Management as it was then, and Post Office and DSS."
320,DSS,DSS,Organisation,"I think that was something to do with the way the contract had been negotiated between Fujitsu, or ITL Management as it was then, and Post Office and DSS."
321,PFI,PFI,Organisation,"I wasn't involved in any of that, but as I understand it, it was a PFI contract, and part of that meant that the customer had to treat the whole thing as a black box, but say this is hearsay, if you like, rather than something I was directly involved in."
324,Post Office,Post Office,Organisation,"To say I, I wasn't directly involved in all of that, but clearly people were talking about— I, I think I was aware that Post Office did not have the right to see various design documents that were being produced."
326,Fujitsu,Fujitsu,Organisation,"That it was up to Fujitsu exactly how they designed the application, and the details of how the internal design was done was something for Fujitsu or ICL to worry about, and it wasn't something that Post Office would get involved in."
326,ICL,ICL,Organisation,"That it was up to Fujitsu exactly how they designed the application, and the details of how the internal design was done was something for Fujitsu or ICL to worry about, and it wasn't something that Post Office would get involved in."
326,Post Office,Post Office,Organisation,"That it was up to Fujitsu exactly how they designed the application, and the details of how the internal design was done was something for Fujitsu or ICL to worry about, and it wasn't something that Post Office would get involved in."
327,EPOSS,EPOSS,Technical System,"Would a consequence of that be in relation, for example, to EPOSS, mean that it would be difficult, if not impossible, for the Post Office to ensure that there was data integrity?"
327,the Post Office,Post Office,Organisation,"Would a consequence of that be in relation, for example, to EPOSS, mean that it would be difficult, if not impossible, for the Post Office to ensure that there was data integrity?"
329,Post Office,Post Office,Organisation,"There were certainly joint test teams, there was a lot of testing going on, there were Post Office testers involved in testing the system to make sure that it came up with the right, with the right outputs."
332,the Post Office,Post Office,Organisation,"He suggested that the fact that the Post Office had purchased a black box and had no rights to see how the black box worked meant that it was difficult, if not impossible, to ensure data integrity within the Horizon system."
332,Horizon,Horizon,Technical System,"He suggested that the fact that the Post Office had purchased a black box and had no rights to see how the black box worked meant that it was difficult, if not impossible, to ensure data integrity within the Horizon system."
338,PFI,PFI,Organisation,"Were you conscious, and those with whom you worked conscious, that the nature of the contract was a PFI contract and therefore the client had no rights, no visibility over the way the system was built?"
344,Horizon,Horizon,Technical System,"And it was really a case of— and the main work I was doing with the customer in the early 2000s was with agreeing these banking specs, and there I was working very openly with the customer because they were their specs that were defining the interfaces as to how Horizon was going to interface with initially the banking engine and then also with Streamline for the debit card payments."
349,Jeremy Fox's,Jeremy Fox's,Individual,"It was really I probably picked that up from Jeremy Fox's stuff, as I say."
350,PFI,PFI,Organisation,I was aware that it was a PFI contract and that it meant that we didn't necessarily need to share detailed design documents with the customer because it was Fujitsu's intellectual property.
350,Fujitsu,Fujitsu,Organisation,I was aware that it was a PFI contract and that it meant that we didn't necessarily need to share detailed design documents with the customer because it was Fujitsu's intellectual property.
359,Horizon,Horizon,Technical System,"Within your roles in legacy Horizon, did you have any oversight of all bugs, errors and defects within the system at any given time?"
364,SSC,SSC,Organisation,I would have thought the SSC would and There was an area called customer services.
365,SSC,SSC,Organisation,SSC was part of that.
369,SSC,SSC,Organisation,"We've heard from a lot of people from the SSC and they've told us that there were between 20 and 30 people at any one time working in the SSC, sometimes working shifts, some working at home, some working in office, that they only knew about the bugs that they were allocated on the stack, and that it was correct that there might be informal sharing of information by people who were sitting next to each other or talking about it at the water cooler, but there was no formalised system for sharing knowledge within the SSC."
373,SSC,SSC,Organisation,I wasn't part of the SSC.
374,Horizon,Horizon,Technical System,"But when I asked you who may have oversight of all bugs, errors and defects within the Horizon system, you pointed to the SSC."
374,SSC,SSC,Organisation,"But when I asked you who may have oversight of all bugs, errors and defects within the Horizon system, you pointed to the SSC."
375,the Customer Services Directorate,the Customer Services Directorate,Organisation,"As part of that, but there was also— there was the whole point of the Customer Services Directorate was to actually manage the interface with Post Office."
375,Post Office,Post Office,Organisation,"As part of that, but there was also— there was the whole point of the Customer Services Directorate was to actually manage the interface with Post Office."
378,Horizon,Horizon,Technical System,"What I'm looking for, it might be described as an all-seeing eye, but somebody who took a step back and would be able to say we've had these problems in the past with Horizon, these bugs, errors and defects, and at the moment we're servicing the existence of these possible bugs, errors and defects."
382,Peak,Peak,Technical System,There was a system called Peak and it had a predecessor called PinICL.
388,Horizon Online,Horizon Online,Technical System,"Not as such, but I did have a— probably a better view of them, particularly during the pilot phase of Horizon Online, because during the pilot phase there was a project team in place that was managing the pilot and taking very close monitoring of any issues that were going on during the pilot, and I would often get called in to that— by that team to investigate particular problems, particularly ones that affected the counter."
389,Horizon Online,Horizon Online,Technical System,"After the pilot phase of Horizon Online was over, did you have oversight Of all bugs, errors and defects within the Horizon Online system?"
389,Horizon,Horizon,Technical System,"After the pilot phase of Horizon Online was over, did you have oversight Of all bugs, errors and defects within the Horizon Online system?"
395,Horizon,Horizon,Technical System,The peak system was working— it was the same peak system that operated for both legacy Horizon and Horizon Online.
395,Horizon Online,Horizon Online,Technical System,The peak system was working— it was the same peak system that operated for both legacy Horizon and Horizon Online.
396,Horizon,Horizon,Technical System,"And so for both legacy Horizon and Horizon Online, you became aware of things that might be bugs, errors and defects through the PinICL and then the Peak system."
396,Horizon Online,Horizon Online,Technical System,"And so for both legacy Horizon and Horizon Online, you became aware of things that might be bugs, errors and defects through the PinICL and then the Peak system."
397,Fujitsu,Fujitsu,Organisation,"There was that, but there was also the problem management system, so then when something was identified as being a serious problem, and I think we're probably going to go on talking about the receipts and payments mismatch problem at some stage, then I was often called in to help— well, firstly analyse the problem and explain that problem so that Fujitsu management could understand what it was all about, and I often got involved in explaining it to the equivalent people in Post Office about what the impact of that was and what could be done to remedy it, both in terms of fixing the code but also fixing whatever the business impact of the problem was, which wouldn't necessarily be fixed directly just because you'd fixed the code."
397,Post Office,Post Office,Organisation,"There was that, but there was also the problem management system, so then when something was identified as being a serious problem, and I think we're probably going to go on talking about the receipts and payments mismatch problem at some stage, then I was often called in to help— well, firstly analyse the problem and explain that problem so that Fujitsu management could understand what it was all about, and I often got involved in explaining it to the equivalent people in Post Office about what the impact of that was and what could be done to remedy it, both in terms of fixing the code but also fixing whatever the business impact of the problem was, which wouldn't necessarily be fixed directly just because you'd fixed the code."
404,Horizon,Horizon,Technical System,"If it was largely happenstance, that you became aware of a bug, error or defect in both legacy Horizon and Horizon Online, how could you subsequently give full, complete and accurate evidence about the existence or non-existence of bugs, errors and defects in Horizon?"
404,Horizon Online,Horizon Online,Technical System,"If it was largely happenstance, that you became aware of a bug, error or defect in both legacy Horizon and Horizon Online, how could you subsequently give full, complete and accurate evidence about the existence or non-existence of bugs, errors and defects in Horizon?"
415,Fujitsu,Fujitsu,Organisation,"During your employment within Fujitsu, did any of your roles entail any overall responsibility for monitoring, identifying, or fixing bugs, errors, or defects?"
427,Del Mellington's,Del Mellington's,Individual,"in Horizon Online, and I was involved— receipts and payments mismatch, the local suspenses issue, and Del Mellington's."
428,Horizon Online,Horizon Online,Technical System,"Those are the ones I see as being the serious issues with Horizon Online, and I got involved in all of them because they saw me being helpful in terms of my expertise and background for those particular cases."
432,jargon,jargon,Organisation,I think it was felt that I was in a good position of turning some of the technical jargon into something that laypeople could understand better.
437,SSC,SSC,Organisation,"It's really— I would get involved by probably a phone call or an email from someone either in the SSC or from problem management and they'd say, Gareth, can you come and give us a hand, look at this problem and see what's going on?"
437,Gareth,Gareth,Individual,"It's really— I would get involved by probably a phone call or an email from someone either in the SSC or from problem management and they'd say, Gareth, can you come and give us a hand, look at this problem and see what's going on?"
440,the Post Office,Post Office,Organisation,"When you started to become the man that the Post Office relied on to give evidence in court, did anyone say, we need to make sure that Mr Jenkins knows about the things that are not referred to him?"
445,SSC,SSC,Organisation,"What interactions did you have with the third line of support, the SSC, in relation to identifying and rectifying bugs, errors and defects?"
452,EPOSS,EPOSS,Technical System,"Can I turn to EPOSS and REPOS, please?"
452,REPOS,REPOS,Organisation,"Can I turn to EPOSS and REPOS, please?"
454,EPOSS,EPOSS,Technical System,"In relation to the EPOSS aspects of Horizon, you tell us— it's paragraph 21 of your second witness statement, no need to turn it up— in summary, until around 2003, I do not recall having anything to do with EPOSS other than indirectly, when it had an impact on my work with the agents."
454,Horizon,Horizon,Technical System,"In relation to the EPOSS aspects of Horizon, you tell us— it's paragraph 21 of your second witness statement, no need to turn it up— in summary, until around 2003, I do not recall having anything to do with EPOSS other than indirectly, when it had an impact on my work with the agents."
455,EPOSS,EPOSS,Technical System,"From around 2003 onwards, I began to gain technical expertise and a practical understanding of how EPOSS operated."
458,ESHA,ESHA,Organisation,You've told us already that ESHA was responsible for provision of the RIPOS software.
463,EPOSS,EPOSS,Technical System,"And the latter of those, the desktop counter, was the basis for the EPOSS system?"
466,Post Office,Post Office,Organisation,"Yes, and I think I went back there for 2 or 3 ad hoc trips after that, but that was my initial That was effectively my first week on the Post Office account when I got sent to Boston for a week to learn about how Riposte worked."
466,Riposte,Riposte,Technical System,"Yes, and I think I went back there for 2 or 3 ad hoc trips after that, but that was my initial That was effectively my first week on the Post Office account when I got sent to Boston for a week to learn about how Riposte worked."
467,EPOSS,EPOSS,Technical System,"If you had— if you did not have anything to do with EPOSS other than indirectly, why did you go to Boston for a week in 1996?"
468,Riposte,Riposte,Technical System,"Because that was talking more about how the Riposte message store was working, and also there were specific interfaces that Riposte had that could be used by the agents."
470,COUNTER,COUNTER,Organisation,"They then went on to how did the COUNTER applications operate, and I wasn't particularly interested in that at the time, so it was felt that rather than stay in Boston for another couple of weeks, I might as well come home."
472,EPOSS,EPOSS,Technical System,"So is the answer that you went to Boston and to learn how the EPOSS system works, in particular how it might interact with the work that you were undertaking?"
473,Riposte,Riposte,Technical System,"No, I went to Boston to learn how Riposte worked, to, um, uh, and therefore how the agents could actually use it."
476,EPOSS,EPOSS,Technical System,"In relation to the development of EPOSS before the rollout of Legacy Horizon, we've heard evidence from David MacDonald."
476,Legacy Horizon,Legacy Horizon,Technical System,"In relation to the development of EPOSS before the rollout of Legacy Horizon, we've heard evidence from David MacDonald."
476,David MacDonald,David MacDonald,Individual,"In relation to the development of EPOSS before the rollout of Legacy Horizon, we've heard evidence from David MacDonald."
480,Gareth,Gareth,Individual,"He told the inquiry, my understanding was that Gareth— that's you, Gareth Jenkins— worked alongside another chief architect architect under Alan Ward."
480,Gareth Jenkins,Gareth Jenkins,Individual,"He told the inquiry, my understanding was that Gareth— that's you, Gareth Jenkins— worked alongside another chief architect architect under Alan Ward."
480,Alan Ward,Alan Ward,Individual,"He told the inquiry, my understanding was that Gareth— that's you, Gareth Jenkins— worked alongside another chief architect architect under Alan Ward."
482,Alan Ward,Alan Ward,Individual,"I certainly did have a dotted line relationship to Alan Ward, who was the Chief Architect at that time."
483,David McDonnell,David McDonnell,Individual,"I thought that David McDonnell actually suggested I was the Chief Architect, and he's certainly mistaken in that belief."
484,Gareth Jenkins',Gareth Jenkins',Individual,He continued Gareth Jenkins' responsibility was specifically to the EPOSS counter system.
484,EPOSS,EPOSS,Technical System,He continued Gareth Jenkins' responsibility was specifically to the EPOSS counter system.
489,Horizon,Horizon,Technical System,Were you the chief architect of Horizon?
491,Horizon,Horizon,Technical System,Who was the chief architect of Horizon?
492,Alan Ward,Alan Ward,Individual,"Alan Ward was at that time, and I know he was quite involved in the development of EPOSS at that time, because there were quite a lot of changes being made, and he used to regularly fly off to Boston for a couple of days almost every week to actually work with Escher on changes to EPOSS."
492,EPOSS,EPOSS,Technical System,"Alan Ward was at that time, and I know he was quite involved in the development of EPOSS at that time, because there were quite a lot of changes being made, and he used to regularly fly off to Boston for a couple of days almost every week to actually work with Escher on changes to EPOSS."
492,Escher,Escher,Individual,"Alan Ward was at that time, and I know he was quite involved in the development of EPOSS at that time, because there were quite a lot of changes being made, and he used to regularly fly off to Boston for a couple of days almost every week to actually work with Escher on changes to EPOSS."
497,Gareth Jenkins,Gareth Jenkins,Individual,"He told us that there was a— or there had been a lack of formalised sign-off designs, a lack of discipline, a lack of professional qualifications in key positions, and a total disengagement of the chief architect, Gareth Jenkins, that there were poor coding standards, no methodology in place, and no unit testing."
498,EPOSS,EPOSS,Technical System,"The issues were critical, making the EPOSS product unstable."
501,Horizon,Horizon,Technical System,"Taking those in turn, you've already told us that you were not the chief architect of Horizon, but putting that aside, in relation to EPOSS, did you know whether or not there was an existence or a lack of formalised sign-off designs?"
501,EPOSS,EPOSS,Technical System,"Taking those in turn, you've already told us that you were not the chief architect of Horizon, but putting that aside, in relation to EPOSS, did you know whether or not there was an existence or a lack of formalised sign-off designs?"
504,EPOSS,EPOSS,Technical System,I have no idea what sort of processes they were following in the EPOSS team.
505,EPOSS,EPOSS,Technical System,Did you know whether or not there was a lack of discipline and a lack of professional qualifications in the EPOSS team?
509,EPOSS,EPOSS,Technical System,Did you know whether or not there was unit testing within the EPOSS team?
513,EPOSS,EPOSS,Technical System,"As to being known to everyone in the building, the other thing to remember is that the EPOSS team was based in Feltham and I was based in Bracknell."
517,EPOSS,EPOSS,Technical System,Were you aware of an EPOSS task force being set up by I don't think I was aware of it at the time.
527,the EPOSS PinICL Task Force,the EPOSS PinICL Task Force,Organisation,"It's a report of the EPOSS PinICL Task Force, and it reports on the activities of the EPOSS PinICL Task Force, which was in place between the 19th of August and the 18th of September 1998 to reduce to manageable levels the EPOSS PinICL outstanding at that time."
527,EPOSS PinICL Task Force,EPOSS PinICL Task Force,Organisation,"It's a report of the EPOSS PinICL Task Force, and it reports on the activities of the EPOSS PinICL Task Force, which was in place between the 19th of August and the 18th of September 1998 to reduce to manageable levels the EPOSS PinICL outstanding at that time."
527,EPOSS,EPOSS,Technical System,"It's a report of the EPOSS PinICL Task Force, and it reports on the activities of the EPOSS PinICL Task Force, which was in place between the 19th of August and the 18th of September 1998 to reduce to manageable levels the EPOSS PinICL outstanding at that time."
531,Austin Bennett,Austin Bennett,Individual,"The distribution does not include you, it's to Messrs Austin Bennett and McDonnell, but then library."
531,McDonnell,McDonnell,Organisation,"The distribution does not include you, it's to Messrs Austin Bennett and McDonnell, but then library."
534,ICL,ICL,Organisation,What was the nature of ICL's document library at this time?
537,Matthew Lentz,Matthew Lentz,Individual,"I think Matthew Lentz may have described something about this when he appeared a couple of weeks ago, and there was a document management system to which all documents were put and people could look at documents if they wished to do so, but normally you would only be looking at documents that either you'd written yourself or were needing— being asked to review in that library."
540,EPOSS,EPOSS,Technical System,"I suppose I could have done if I'd got nothing better to do, but I don't think I would have been particularly interested in what was happening with EPOSS at that time."
